TRTID10,decade,R_VAC,HU_ln,P_NONWHT,a_hinc
39035102700,1970,159,7.972466016,0.005268959,4.482346814
39035102700,1980,33,7.421775794,0.036371453,6.412567872
39035102700,1990,63,7.173191742,0.248665955,4.700223046
39035102700,2000,63,7.311218384,0.458374875,5.346606701
39035102700,2010,256,6.761572769,0.258883249,5.2895
39035102800,1970,64,7.006695227,0.007573263,4.399742037
39035102800,1980,33,7.632885505,0.04253432,6.958246647
39035102800,1990,72,7.17930797,0.183420366,4.680856619
39035102800,2000,121,7.178545484,0.531982267,4.29806484
39035102800,2010,313,8.151333338,0.286616813,6.0313
39035102900,1970,50,6.899723107,0.001043115,4.824708894
39035102900,1980,22,7.747164967,0.023741271,6.686534898
39035102900,1990,109,6.825460036,0.783034953,1.827816925
39035102900,2000,110,6.684611728,0.921443737,2.25225516
39035102900,2010,240,8.084562415,0.338411879,3.8196
39035103100,1970,53,6.452048954,0.035273369,4.313751543
39035103100,1980,13,7.498869734,0.025431996,8.365930754
39035103100,1990,84,6.980075941,0.965562053,1.95035698
39035103100,2000,115,6.898714534,0.986048265,2.25274582
39035103100,2010,208,7.527793988,0.529766041,4.1516
39035103300,1970,68,6.751101469,0.237633576,1.361027789
39035103300,1980,18,7.776535028,0.063380959,6.478289872
39035103300,1990,73,7.170119543,0.972956817,2.343374356
39035103300,2000,113,7.118826249,0.964744372,2.138691377
39035103300,2010,111,7.367708572,0.128754308,5.5068
39035103400,1970,140,7.583247524,0.016963386,4.008051101
39035103400,1980,31,7.515889085,0.03974197,5.430393401
39035103400,1990,50,6.942156706,0.768550228,2.695194436
39035103400,2000,154,7.031741259,0.857908847,2.378232288
39035103400,2010,137,7.426549072,0.583776933,4.1588
39035103500,1970,185,7.6666902,0.010156456,3.896108558
39035103500,1980,25,7.391415235,0.045605759,6.051784342
39035103500,1990,65,7.400620577,0.135090994,5.151136187
39035103500,2000,95,7.405495663,0.558878517,3.946629242
39035103500,2010,75,7.303170051,0.777533645,1.8144
39035103602,1970,301,8.140023952,0.092383718,2.15152976
39035103602,1980,13,7.214504414,0.035187974,7.636380939
39035103602,1990,288,7.544861069,0.324939319,3.571622719
39035103602,2000,218,7.671826798,0.271387883,3.633589343
39035103602,2010,293,7.687997166,0.72097956,1.9338
39035103800,1970,104,7.439559309,0.006918648,3.867266254
39035103800,1980,17,7.143617603,0.031343601,7.720413169
39035103800,1990,49,6.859614904,0.621541866,3.576796921
39035103800,2000,64,6.887552572,0.699577411,3.396843847
39035103800,2010,195,7.339537695,0.960182025,1.5051
39035103900,1970,172,7.580699752,0.021533161,3.605829408
39035103900,1980,115,7.474204806,0.882213812,5.245764666
39035103900,1990,86,7.228388452,0.601019108,2.612929831
39035103900,2000,99,7.109879463,0.6659271,2.765118229
39035103900,2010,511,8.036896773,0.564175395,3.3573
39035104100,1970,77,6.909753282,0.006821282,3.806626275
39035104100,1980,63,6.966024187,0.943786235,6.195761387
39035104100,1990,73,6.821107472,0.758469945,2.109059121
39035104100,2000,24,6.413458957,0.741898148,2.937217461
39035104100,2010,188,7.043159916,0.426626967,3.5958
39035104200,1970,58,6.573680167,0.042610319,3.621094232
39035104200,1980,81,6.950814768,0.967368421,5.090019283
39035104200,1990,26,5.814130532,0.758469945,2.109059032
39035104200,2000,30,6.356107661,0.91638796,2.137072566
39035104200,2010,74,6.720220155,0.861895161,1.5882
39035104300,1970,209,7.457032089,0.035384615,2.509600027
39035104300,1980,56,7.483806688,0.70035691,5.946869239
39035104300,1990,186,7.471363088,0.482253697,2.868795061
39035104300,2000,312,7.727094485,0.523634357,3.202664885
39035104300,2010,104,7.9683195,0.150583391,7.9721
39035104400,1970,75,6.871091295,0.084474902,3.43873111
39035104400,1980,23,7.418780883,0.392079208,4.581969012
39035104400,1990,214,7.72841578,0.502304965,2.38241754
39035104400,2000,340,7.812782819,0.568022943,2.835037375
39035104400,2010,78,7.115582126,0.26988417,10.1691
39035104600,1970,38,6.682108597,0.01573799,4.005875333
39035104600,1980,63,7.058758153,0.74067544,4.618706805
39035104600,1990,213,7.510977752,0.172618796,2.991660812
39035104600,2000,267,7.694848072,0.185085467,3.409279116
39035104600,2010,92,7.197435354,0.545380875,4.881
39035104800,1970,101,7.416979621,0.047364763,4.146167246
39035104800,1980,39,7.041411664,0.228515619,4.184843169
39035104800,1990,252,7.532088144,0.251918159,2.842070998
39035104800,2000,273,7.654917048,0.255248165,3.164025432
39035104800,2010,185,7.944846711,0.567455621,3.8279
39035104900,1970,77,7.380879036,0.005600223,3.891217989
39035104900,1980,29,7.19518732,0.265437161,4.537398559
39035104900,1990,173,7.437795122,0.176528117,3.52452461
39035104900,2000,149,7.491087594,0.155539939,3.757479443
39035104900,2010,133,7.360103973,0.230429989,7.0231
39035105100,1970,84,7.531552381,0.002340388,4.650198542
39035105100,1980,28,7.157735484,0.26543715,4.537398709
39035105100,1990,251,7.491645474,0.191920178,2.841392222
39035105100,2000,221,7.475339237,0.217201152,3.512149189
39035105100,2010,255,7.856319571,0.672616633,4.2198
39035105300,1970,56,7.286191715,0.00306387,4.435490165
39035105300,1980,39,7.295735073,0.753524046,2.810678201
39035105300,1990,76,6.726233402,0.390523056,2.562571848
39035105300,2000,69,6.66949809,0.427680091,2.934944749
39035105300,2010,114,7.94944442,0.168514412,9.311
39035105400,1970,57,7.446585099,0.003125565,4.762842037
39035105400,1980,57,7.515344571,0.200998523,6.355763497
39035105400,1990,376,7.525639975,0.586353684,2.114509552
39035105400,2000,401,7.615791072,0.588940697,2.185145551
39035105400,2010,82,7.466799475,0.147945205,10.2094
39035105500,1970,41,6.931471806,0.007491973,3.962598202
39035105500,1980,29,7.251344983,0.114942538,6.161457411
39035105500,1990,520,7.779466967,0.753386528,1.979663667
39035105500,2000,1128,8.032684876,0.760909242,2.444103483
39035105500,2010,62,7.113142109,0.207002039,6.9315
39035105602,1970,74,7.290292882,0.040345392,4.622568515
39035105602,1980,12,7.100851909,0.030448578,6.918290238
39035105602,1990,95,7.192934221,0.323009202,3.396932828
39035105602,2000,166,7.289610521,0.369439072,4.064387694
39035105602,2010,61,7.252053952,0.223721775,11.0699
39035105700,1970,49,7.564757013,0.010939268,4.88382504
39035105700,1980,24,7.329093736,0.028788848,6.677775611
39035105700,1990,156,7.374001859,0.487084871,3.094520622
39035105700,2000,237,7.529943371,0.503552819,2.991190135
39035105700,2010,55,6.728628613,0.306989493,13.3889
39035105900,1970,25,7.340186835,0.002384927,5.381236708
39035105900,1980,18,7.654443226,0.033027843,6.321211398
39035105900,1990,87,7.400620577,0.598137711,2.782257848
39035105900,2000,131,7.409741954,0.636613387,3.069573178
39035105900,2010,34,6.64118217,0.221717172,11.1827
39035106100,1970,13,7.351799869,0.002880757,5.701982127
39035106100,1980,13,7.734121303,0.056614281,7.035334208
39035106100,1990,96,7.338888134,0.370202622,3.438661041
39035106100,2000,160,7.436617265,0.418615984,3.718349254
39035106100,2010,70,7.511524648,0.184372093,10.875
39035106200,1970,17,7.518064181,0.001316037,5.399864516
